aircraftId,registration,name,mtowKg,grassPenaltyPercentIfNoGrassData,runwayType,weightKg,pressureAltitudeFt,temperatureC,takeoffGroundRollM,takeoffOver50M,landingGroundRollM,landingOver50M,headwindTO%/kt,tailwindTO%/kt,headwindLDG%/kt,tailwindLDG%/kt,slopeTO%/%,slopeLDG%/%
sample-da20,F-DA20,DA20-C1,800,15,concrete,800,0,15,394,507,201,415,2.41,1.19,0,0,,
sample-da20,F-DA20,DA20-C1,800,15,concrete,800,1000,15,,,207,423,2.75,2.75,0,0,,
sample-da20,F-DA20,DA20-C1,800,15,concrete,800,2000,15,469,611,214,432,2.37,1.81,0,0,,
sample-da20,F-DA20,DA20-C1,800,15,concrete,800,3000,15,,,220,441,2.75,2.75,0,0,,
sample-da20,F-DA20,DA20-C1,800,15,concrete,800,4000,15,559,750,227,450,2.3,0.63,0,0,,
sample-da20,F-DA20,DA20-C1,800,15,concrete,800,5000,15,,,234,461,2.75,2.75,0,0,,
sample-da20,F-DA20,DA20-C1,800,15,concrete,800,6000,15,670,943,241,471,2.24,0.71,0,0,,
sample-da20,F-DA20,DA20-C1,800,15,concrete,800,7000,15,,,248,482,2.75,2.75,0,0,,
sample-da20,F-DA20,DA20-C1,800,15,concrete,600,0,-20,203,264,,,2.75,2.75,0,0,,
sample-da20,F-DA20,DA20-C1,800,15,concrete,620,0,-20,198,257,,,2.77,3.5,0,0,,
sample-da20,F-DA20,DA20-C1,800,15,concrete,640,0,-20,192,250,,,2.79,4.29,0,0,,
sample-da20,F-DA20,DA20-C1,800,15,concrete,660,0,-20,186,243,,,2.82,5.19,0,0,,
sample-da20,F-DA20,DA20-C1,800,15,concrete,680,0,-20,185,242,,,2.82,5.37,0,0,,
sample-da20,F-DA20,DA20-C1,800,15,concrete,700,0,-20,197,257,,,2.77,3.53,0,0,,
sample-da20,F-DA20,DA20-C1,800,15,concrete,720,0,-20,209,272,,,2.73,1.95,0,0,,
sample-da20,F-DA20,DA20-C1,800,15,concrete,740,0,-20,224,290,,,2.69,0.2,0,0,,
sample-da20,F-DA20,DA20-C1,800,15,concrete,760,0,-20,239,309,,,2.65,1.33,0,0,,
sample-da20,F-DA20,DA20-C1,800,15,concrete,780,0,-20,253,326,,,2.61,2.6,0,0,,
sample-da20,F-DA20,DA20-C1,800,15,concrete,800,0,-20,269,346,,,2.58,2.22,0,0,,
sample-da20,F-DA20,DA20-C1,800,15,concrete,600,0,-15,203,264,,,2.75,2.72,0,0,,
sample-da20,F-DA20,DA20-C1,800,15,concrete,620,0,-15,201,261,,,2.76,3.07,0,0,,
sample-da20,F-DA20,DA20-C1,800,15,concrete,640,0,-15,198,258,,,2.77,3.41,0,0,,
sample-da20,F-DA20,DA20-C1,800,15,concrete,660,0,-15,195,255,,,2.78,3.8,0,0,,
sample-da20,F-DA20,DA20-C1,800,15,concrete,680,0,-15,197,256,,,2.78,3.6,0,0,,
sample-da20,F-DA20,DA20-C1,800,15,concrete,700,0,-15,210,273,,,2.73,1.83,0,0,,
sample-da20,F-DA20,DA20-C1,800,15,concrete,720,0,-15,223,289,,,2.69,0.33,0,0,,
