aircraftId,registration,name,mtowKg,grassPenaltyPercentIfNoGrassData,runwayType,weightKg,pressureAltitudeFt,temperatureC,takeoffGroundRollM,takeoffOver50M,landingGroundRollM,landingOver50M,headwindTO%/kt,tailwindTO%/kt,headwindLDG%/kt,tailwindLDG%/kt,slopeTO%/%,slopeLDG%/%
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,0,-20,,298,,400,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,900,0,-20,,370,,437,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,1000,0,-20,,465,,475,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,0,-15,,298,,400,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,900,0,-15,,370,,437,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,1000,0,-15,,465,,475,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,0,-10,,298,,400,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,900,0,-10,,370,,437,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,1000,0,-10,,465,,475,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,0,-5,,310,,401,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,900,0,-5,,388,,439,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,1000,0,-5,,487,,477,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,0,0,,322,,408,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,900,0,0,,405,,447,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,1000,0,0,,509,,486,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,0,5,,334,,416,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,900,0,5,,423,,455,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,1000,0,5,,531,,495,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,0,10,,346,,423,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,900,0,10,,441,,463,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,1000,0,10,,553,,504,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,0,15,,358,,430,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,900,0,15,,458,,472,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,1000,0,15,,575,,513,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,0,20,,370,,438,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,900,0,20,,474,,480,1.8,5,1.8,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,1000,0,20,,598,,523,1.8,5,1.8,5,,
